_,CO2,CH4,C3H8,NG,SPEC
$,346.00,0.00,94.00,,23.00
$,355.00,0.00,96.00,,23.00
$,377.00,0.00,96.00,,23.00
$,374.00,0.00,96.00,,23.00
$,349.00,0.00,97.00,,23.00
$,380.00,0.00,99.00,,23.00
$,274.00,0.00,100.00,23.00,
$,274.00,0.00,100.00,23.00,
$,349.00,0.00,101.00,23.00,
$,346.00,0.00,102.00,23.00,
$,358.00,0.00,103.00,23.00,
$,355.00,0.00,103.00,23.00,
$,374.00,0.00,103.00,23.00,
$,365.00,0.00,105.00,23.00,
$,368.00,0.00,104.00,23.00,
$,365.00,0.00,105.00,23.00,
$,361.00,0.00,106.00,23.00,
$,368.00,0.00,106.00,23.00,
$,361.00,0.00,107.00,23.00,
$,365.00,0.00,106.00,23.00,
$,374.00,0.00,107.00,23.00,
$,368.00,0.00,108.00,23.00,
$,377.00,0.00,109.00,23.00,
$,380.00,0.00,109.00,23.00,
$,377.00,0.00,109.00,23.00,
$,377.00,0.00,109.00,23.00,
$,365.00,0.00,110.00,23.00,
$,371.00,0.00,109.00,23.00,
$,346.00,0.00,110.00,23.00,
$,371.00,0.00,110.00,23.00,
$,365.00,0.00,111.00,23.00,
$,371.00,0.00,111.00,23.00,
$,269.00,0.00,111.00,23.00,
$,271.00,0.00,112.00,23.00,
$,365.00,0.00,112.00,23.00,
$,361.00,0.00,113.00,23.00,
$,361.00,0.00,113.00,23.00,
$,340.00,0.00,113.00,23.00,
$,365.00,0.00,112.00,23.00,
$,371.00,0.00,113.00,23.00,
$,371.00,0.00,113.00,23.00,
$,377.00,0.00,114.00,23.00,
$,266.00,0.00,113.00,23.00,
$,271.00,0.00,114.00,23.00,
$,269.00,0.00,114.00,23.00,
$,269.00,0.00,114.00,23.00,
$,266.00,0.00,114.00,23.00,
$,266.00,0.00,114.00,23.00,
$,266.00,0.00,115.00,23.00,
$,266.00,0.00,115.00,23.00,
$,264.00,0.00,115.00,23.00,
$,264.00,0.00,116.00,23.00,
$,264.00,0.00,115.00,23.00,
$,264.00,0.00,115.00,23.00,
$,266.00,0.00,115.00,23.00,
$,264.00,0.00,114.00,23.00,
$,266.00,0.00,115.00,23.00,
$,266.00,0.00,115.00,23.00,
$,266.00,0.00,115.00,23.00,
$,264.00,0.00,116.00,23.00,
$,264.00,0.00,116.00,23.00,
$,266.00,0.00,115.00,23.00,
$,271.00,0.00,116.00,23.00,
$,271.00,0.00,116.00,23.00,
$,271.00,0.00,116.00,23.00,
$,271.00,0.00,116.00,23.00,
$,269.00,0.00,116.00,23.00,
$,269.00,0.00,116.00,23.00,
$,269.00,0.00,115.00,23.00,
$,269.00,0.00,116.00,23.00,
$,269.00,0.00,115.00,23.00,
$,269.00,0.00,116.00,23.00,
$,269.00,0.00,116.00,23.00,
$,269.00,0.00,116.00,23.00,
$,271.00,0.00,116.00,23.00,
$,271.00,0.00,117.00,23.00,
$,326.00,0.00,116.00,23.00,
$,326.00,0.00,115.00,23.00,
$,328.00,0.00,116.00,23.00,
$,334.00,0.00,116.00,23.00,
$,337.00,0.00,115.00,23.00,
$,343.00,0.00,115.00,23.00,
$,328.00,0.00,115.00,23.00,
$,346.00,0.00,116.00,23.00,
$,352.00,0.00,116.00,23.00,
$,349.00,0.00,115.00,23.00,
$,349.00,0.00,115.00,23.00,
$,349.00,0.00,115.00,23.00,
$,349.00,0.00,117.00,23.00,
$,352.00,0.00,115.00,23.00,
$,352.00,0.00,115.00,23.00,
$,261.00,0.00,115.00,23.00,
$,261.00,0.00,115.00,23.00,
